"","SRR15563643","SRR15563641","SRR15563642","SRR15563640","SRR15563648","SRR15563649"
"ca8",0,1.1625922547399,1.53522336088832,1.54738319612026,0,1.5336455720136
"ca5a",1.87900267318923,3.84179433036759,4.24391656601391,3.90404558684877,2.85673038285343,3.14612372503858
"ca12",2.97381035553544,3.75668045900673,4.7505802445457,5.52269670687861,3.12161275201638,3.30172561783758
"ca4l",7.51953163596998,6.84814180747516,5.82866151059797,4.67078029785692,7.65050902095216,7.46400298254063
"cahz",7.6711856688419,6.87583286100636,7.82394502401636,8.6678449332339,8.26352496084041,7.98102325905431
"ca4a",0,0,0,0,0,1.34593451778998
"ca6",6.69040918918438,7.33063710256319,7.61969240299254,7.4465609835714,7.04777926496132,7.18677302799091
"ca2",7.44681058482594,6.93911950020157,7.4216304622197,7.0034975835279,7.46967286842344,7.62238422350171
"ca7",0,1.65912400582139,1.86155643457473,0,0,1.83686656955671
"ca16b",2.45570623349875,3.0659257044674,3.81850569184656,3.53912220031774,2.59471550078963,3.18725926260836
"ca4",0,4.10576640003835,3.87087738942768,3.5471160161449,0,3.53634439468468
