"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,8.16771722986563e-28,15,10,10,1,0.666666666666667,"KEGG:00910","KEGG","Nitrogen metabolism",5762,139,"KEGG:00000"
"query_1",TRUE,1.35199869230532e-08,4,4,3,0.75,0.75,"GO:0004089","GO:MF","carbonate dehydratase activity",5218,568,"GO:0016836"
"query_1",TRUE,1.68975528176002e-08,5,4,3,0.75,0.6,"GO:0016836","GO:MF","hydro-lyase activity",5218,2968,"GO:0016835"
"query_1",TRUE,6.3056971820086e-08,8,4,3,0.75,0.375,"GO:0016835","GO:MF","carbon-oxygen lyase activity",5218,2967,"GO:0016829"
"query_1",TRUE,1.01099503315393e-07,7,4,3,0.75,0.428571428571429,"GO:0006730","GO:BP","one-carbon metabolic process",4637,2434,"GO:0044281"
"query_1",TRUE,1.26244395644847e-06,1426,10,10,1,0.00701262272089762,"KEGG:01100","KEGG","Metabolic pathways",5762,181,"KEGG:00000"
"query_1",TRUE,1.93762765072675e-06,25,4,3,0.75,0.12,"GO:0016829","GO:MF","lyase activity",5218,2962,"GO:0003824"
"query_1",TRUE,0.00035036095092387,15,4,2,0.5,0.133333333333333,"GO:0036269","GO:BP","swimming behavior",4637,9527,"GO:0007626"
"query_1",TRUE,0.000459281047688027,157,4,3,0.75,0.0191082802547771,"GO:0044281","GO:BP","small molecule metabolic process",4637,10948,"GO:0008152"
"query_1",TRUE,0.000459281047688027,24,4,2,0.5,0.0833333333333333,"GO:0007626","GO:BP","locomotory behavior",4637,3083,"GO:0007610"
"query_1",TRUE,0.000459485871539884,162,4,3,0.75,0.0185185185185185,"GO:0008270","GO:MF","zinc ion binding",5218,1617,"GO:0046914"
"query_1",TRUE,0.000740701297251403,202,4,3,0.75,0.0148514851485149,"GO:0046914","GO:MF","transition metal ion binding",5218,5741,"GO:0046872"
"query_1",TRUE,0.000932092820645379,38,4,2,0.5,0.0526315789473684,"GO:0007610","GO:BP","behavior",4637,3067,"GO:0032501"
"query_1",TRUE,0.00775054034986006,1192,4,4,1,0.00335570469798658,"GO:0003824","GO:MF","catalytic activity",5218,365,"GO:0003674"
"query_1",TRUE,0.0224113282531828,738,4,3,0.75,0.0040650406504065,"GO:0043169","GO:MF","cation binding",5218,5250,"GO:0043167"
"query_1",TRUE,0.0224113282531828,726,4,3,0.75,0.00413223140495868,"GO:0046872","GO:MF","metal ion binding",5218,5730,"GO:0043169"
"query_1",TRUE,0.0335262618409695,22,4,1,0.25,0.0454545454545455,"GO:0004725","GO:MF","protein tyrosine phosphatase activity",5218,992,"GO:0004721"
"query_1",TRUE,0.0400952467521425,29,4,1,0.25,0.0344827586206897,"GO:0004721","GO:MF","phosphoprotein phosphatase activity",5218,989,"GO:0016791, GO:0140096"
"query_1",TRUE,0.0497269567226349,1136,4,3,0.75,0.00264084507042254,"GO:0036094","GO:MF","small molecule binding",5218,4932,"GO:0005488"
"query_1",TRUE,0.0497269567226349,46,4,1,0.25,0.0217391304347826,"GO:0016791","GO:MF","phosphatase activity",5218,2933,"GO:0042578"
